ARTICULO;MODELO;EAN;SUBFAMILIA;NOMBRE_SUBFAMILIA;DESCRIPCION;MARCA;PRECIO;STOCK;PVPR;IVA_TECNO;OBSOLETO;CANONDIGITAL;FAMILIA;NOMBREFAMILIA;ART_EXCLU_E;NOMBRECARACTERISTICA;VALOR;NOMBRECARACTERISTICA1;VALOR1;NOMBRECARACTERISTICA2;VALOR2;NOMBRECARACTERISTICA3;VALOR3;NOMBRECARACTERISTICA4;VALOR4;NOMBRECARACTERISTICA5;VALOR5;NOMBRECARACTERISTICA6;VALOR6;NOMBRECARACTERISTICA7;VALOR7;URLIMAGEN
01100188;VCASAE90AWA;8413880058986;AAM;ACCESORIO DE GAMA BLANCA;KIT COAXIAL 988010647;FAGOR CONF;20,52;1;35,068680; ; ;0;01;GAMA BLANCA; ;Color;BLANCO;Productos compatibles; ;Materiales; ;Tipo de aparatos; ;Peso; ;Ancho;0; ; ; ; ;https://integra.hepecasa.es/01/01100188.jpg
01100536;FDECORATIVAS2;8422248001595;FIL;FILTRO CAMPANA;02859391 DECORATIVAS GRUPO MOTOR TAP/TAT;CATA;12,94;0;22,114460; ; ;0;01;GAMA BLANCA; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;https://integra.hepecasa.es/01/01100536.jpg
01100594;CESTAVARILLA3;8421152026656;AAM;ACCESORIO DE GAMA BLANCA;40199037 CESTA VARILLA 370*315*145 MM;TEKA;33,12;0;56,602080; ; ;0;01;GAMA BLANCA; ;Color;Acero inoxidable;Productos compatibles;ANGULAR, CUADRO, BE 2C 785, BE 2C 780, B;Materiales;Acero inoxidable;Tipo de aparatos;FREGADEROS;Peso; ;Ancho;370; ; ; ; ;https://integra.hepecasa.es/01/01100594.jpg
01101965;02841300;8422248001939;AAM;ACCESORIO DE GAMA BLANCA;90 INOX 2841300;CATA;34,50;0;58,9605; ; ;0;01;GAMA BLANCA; ;Color;Acero inoxidable;Productos compatibles; ;Materiales; ;Tipo de aparatos; ;Peso; ;Ancho;900; ; ; ; ;https://integra.hepecasa.es/01/01101965.jpg
01101969;F02846762FTF;8422248001816;FIL;FILTRO CAMPANA;02846762 (F/TF/E/I/G/DE/SBOX);CATA;7,40;1;12,6466; ; ;0;01;GAMA BLANCA; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;https://integra.hepecasa.es/01/01101969.jpg
01102612;ENCCGC4GAIAL;8421152027875;ENC;ENCIMERA A GAS;10205219 SM CGC.4G AI. AL NAT  600*510 AUTOENC;TEKA;235,84;2;403,050560; ; ;0;01;GAMA BLANCA; ;Altura;100;Ancho;600;Tipo Gas;Encimera de gas;Profundidad;510;Numero de zonas coccion;4 zona(s);Color;Negro;Clase eficiencia energetica; ;Tipo de control; ;https://integra.hepecasa.es/01/01102612.jpg
01104084;40446300GFT;8421152732571;CAY;GRUPO FILTRANTES;40446300 GF-T PIRAMIDAL INTEGRABLE 1M.520M3/H;TEKA;82,20;0;140,4798; ; ;0;01;GAMA BLANCA; ;Ancho Frigos Agrupada; ;Color;Acero inoxidable;Ancho;500;Max. Capacidad Extracc.;359 m³/h;Numero de velocidades;3;Nivel de ruido; ;Consumo energetico; ;Num. Motores;1;https://integra.hepecasa.es/01/01104084.jpg
01104298;81476033CU;8421152708347;AAM;ACCESORIO DE GAMA BLANCA;81476033 CUBRETUBOS DM 60/70/90 INOX  800MM;TEKA;47,71;0;81,536390; ; ;0;01;GAMA BLANCA; ;Color;Acero inoxidable;Productos compatibles; ;Materiales; ;Tipo de aparatos; ;Peso; ;Ancho;0; ; ; ; ;https://integra.hepecasa.es/01/01104298.jpg
01104514;61801238CARBO;8421152712351;FIL;FILTRO CAMPANA;61801238 CARBON ACTIVO RECTANGULAR (CLASSIC);TEKA;13,26;4;22,661340; ; ;0;01;GAMA BLANCA; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;https://integra.hepecasa.es/01/01104514.jpg
01104779;10119059CLASS;8421152030677;FRG;FREGADERO;10119059 CLASSIC 1C. INOX   650*500 M:50CM;TEKA;93,57;0;159,911130; ; ;0;01;GAMA BLANCA; ;Altura; ;Ancho; ;Color; ;profundidad primer cuenco;19 cm;Num. orificios;1;dimension primer cuenco;406 x 406 mm;profundidad segundo cuenco; ;dimension segundo cuenco; ;https://integra.hepecasa.es/01/01104779.jpg
